numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCAZA100		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	sylvatica		Ecuador	Esmeraldas	Desconocido	Desconocido	La Boca	ECUADOR: Esmeraldas: La Boca.   	Georreferenciación			WGS 84	1.133	-78.77400		1985-06-01T00:00:00	1985-06-01T00:00:00					Giovanni Onore		0			
QCAZA10003		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	El Oro	Desconocido	Desconocido	Carretera Pasaje Chille	ECUADOR: El Oro: Carretera Pasaje Chile.  Altitud: 1200msnm - 	Georreferenciación	1200	1200	Desconocido	-3.407000	-79.64700		1996-09-14T00:00:00	1996-09-14T00:00:00					Renato Valencia.		0			
QCAZA10004		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	El Oro	Desconocido	Desconocido	Carretera Pasaje Chille	ECUADOR: El Oro: Carretera Pasaje Chille Altitud: 1200msnm - Latitud:  Longitud:  	Georreferenciación	1200	1200	Desconocido	-3.407000	-79.64700		1996-09-14T00:00:00	1996-09-14T00:00:00					Renato Valencia		0			
QCAZA10005		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	El Oro	Desconocido	Desconocido	Carretera Pasaje Chille	ECUADOR: El Oro: Carretera Pasaje Chille Altitud: 1200msnm - Latitud:  Longitud:  	Georreferenciación	1200	1200	Desconocido	-3.407000	-79.64700		1996-09-14T00:00:00	1996-09-14T00:00:00					Renato Valencia		0			
QCAZA10007		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	Desconocido	Desconocido	Río Cube, Y de la Laguna	ECUADOR: Esmeraldas: Río Cube, Y de la Laguna.  Altitud: 360msnm - 	Georreferenciación	360	360	WGS 84	0.3840000	-79.68600		1996-07-25T00:00:00	1996-07-25T00:00:00							0			
QCAZA10008		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	Desconocido	Desconocido	Río Cube, Y de la Laguna	ECUADOR: Esmeraldas: Río Cube, Y de la Laguna.  Altitud: 360msnm - 	Georreferenciación	360	360	WGS 84	0.3840000	-79.68600		1996-07-25T00:00:00	1996-07-25T00:00:00							0			
QCAZA10009		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Esmeraldas	Desconocido	Desconocido	Río Cube, Y de la Laguna 	ECUADOR: Esmeraldas: Río Cube, Y de la Laguna.  Altitud: 360msnm - 	Georreferenciación	360	360	WGS 84	0.3840000	-79.68600		1996-07-25T00:00:00	1996-07-25T00:00:00							0			
QCAZA101		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	sylvatica		Ecuador	Esmeraldas	Desconocido	Desconocido	La Boca	ECUADOR: Esmeraldas: La Boca.   	Georreferenciación			WGS 84	1.133	-78.77400		1985-06-01T00:00:00	1985-06-01T00:00:00					Giovanni Onore		0			
QCAZA10110		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Ameerega	parvula		Ecuador	Orellana	Orellana	Alejandro Labaka	Parque Nacional Yasuní, vía Pompeya Sur - Iro, km 39, a 3 km al sur del río Tiputini 	ECUADOR: Orellana: km 39 Vía MAXUS, 3Km al sur del Río Tiputini.   	Indeterminada				-0.654778028	-76.4495906		1996-06-25T00:00:00	1996-06-25T00:00:00					Morley Read	2002-02-15T00:00:00	0			
QCAZA10111		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	tricolor		Ecuador	Cotopaxi	Desconocido	Desconocido	La localidad de los padres es Moraspungo	ECUADOR: Cotopaxi: Moraspungo. Juveniles criados en cuativerio de padres de la localidad indicada Altitud: 1800msnm - 	Georreferenciación	1800	1800	WGS 84	-1.172913	-79.22142		1996-06-27T00:00:00	1996-06-27T00:00:00					Nacido en cautiverio		0			
QCAZA10114		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Sucre, Cabo Pasado, 5 km de Canoa, vía San Vicente-Pedernales 	ECUADOR: Manabí: Sucre, Cabo Pasado, 5Km de Canoa, Vía San Vicente-Pedernales.  Altitud: 30msnm - 	Georreferenciación	30	30	WGS 84	-0.414486	-80.44833		1996-08-19T00:00:00	1996-08-19T00:00:00					Néstor Acosta		0			
QCAZA10115		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Sucre, Cabo Pasado, 5 km de Canoa, vía San Vicente-Pedernales 	ECUADOR: Manabí: Sucre, Cabo Pasado, 5Km de Canoa, Vía San Vicente-Pedernales.  Altitud: 30msnm - 	Georreferenciación	30	30	WGS 84	-0.414486	-80.44833		1996-08-19T00:00:00	1996-08-19T00:00:00					Néstor Acosta	2012-09-21T00:00:00	0			
QCAZA10116		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Sucre, Cabo Pasado, 5 km de Canoa, vía San Vicente-Pedernales	ECUADOR: Manabí: Sucre, Cabo Pasado, 5Km de Canoa, Vía San Vicente-Pedernales.  Altitud: 30msnm - 	Georreferenciación	30	30	WGS 84	-0.414486	-80.44833		1996-08-19T00:00:00	1996-08-19T00:00:00					Néstor Acosta	2012-09-21T00:00:00	0			
QCAZA10117		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Sucre, Cabo Pasado, 5 km de Canoa, vía San Vicente-Pedernales 	ECUADOR: Manabí: Sucre, Cabo Pasado, 5Km de Canoa, Vía San Vicente-Pedernales.  Altitud: 30msnm - 	Georreferenciación	30	30	WGS 84	-0.414486	-80.44833		1996-08-19T00:00:00	1996-08-19T00:00:00					Néstor Acosta	2012-09-21T00:00:00	0			
QCAZA10118		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Sucre, Cabo Pasado, 5 km de Canoa, vía San Vicente-Pedernales 	ECUADOR: Manabí: Sucre, Cabo Pasado, 5Km de Canoa, Vía San Vicente-Pedernales.  Altitud: 30msnm - 	Georreferenciación	30	30	WGS 84	-0.414486	-80.44833		1996-08-19T00:00:00	1996-08-19T00:00:00					Néstor Acosta	2012-09-21T00:00:00	0			
QCAZA10119		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Sucre, Cabo Pasado, 5 km de Canoa, vía San Vicente-Pedernales	ECUADOR: Manabí: Sucre, Cabo Pasado, 5Km de Canoa, Vía San Vicente-Pedernales.  Altitud: 30msnm - 	Georreferenciación	30	30	WGS 84	-0.414486	-80.44833		1996-08-19T00:00:00	1996-08-19T00:00:00					Néstor Acosta	2012-09-21T00:00:00	0			
QCAZA10122		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Santo Domingo de los Tsáchilas	Desconocido	Desconocido	2 km al sur de Río Toachi 	ECUADOR: Pichincha: 2Km al sur de Rìo Toachi. Colectados como renacuajos y criados en cautiverio. Altitud: 1400msnm - 	Georreferenciación	1400	1400	WGS 84	-0.316593	-78.94996000000003		1996-01-28T00:00:00	1996-01-28T00:00:00					Néstor Acosta		0			
