spid,x,y,bio01,bio02,bio03,bio04,bio07,bio12,bio13,bio14,bio15,bio18,bio19,slope,aspect,hillshade,tri,watdist,landcover
anthonyi,-79.78801504,-3.112902905,252,81,71,1138,114,783,153,23,72,397,90,0,297,181,5,4.472135955,10
anthonyi,-79.7117555,-3.279958666,239,95,82,589,115,973,175,17,70,377,76,4,305,191,470,4.123105626,10
anthonyi,-79.41458317,-3.342970223,223,107,90,241,118,1073,171,13,60,172,410,15,216,207,1139,1.414213562,60
anthonyi,-79.58133571,-3.353208319,228,105,92,161,114,1103,188,10,67,414,73,7,325,193,-1921,5.656854249,10
anthonyi,-79.72530225,-3.503221397,225,109,90,214,121,1262,241,7,84,104,670,11,341,192,-252,20.09975124,10
anthonyi,-80.11382372,-3.503542452,254,98,74,1176,131,431,108,5,110,284,20,1,317,182,-7,5.099019514,10
anthonyi,-79.74592113,-3.509085115,227,108,90,198,120,1234,238,7,84,509,46,17,280,232,-29,21,10
anthonyi,-79.7147208,-3.526417641,203,114,87,361,131,1389,283,4,88,32,740,13,212,201,215,23.19482701,10
anthonyi,-79.63822046,-3.654456268,229,112,88,255,126,1350,264,8,87,109,126,13,246,218,182,26.47640459,30
anthonyi,-79.74119894,-3.659089274,225,113,88,231,127,1410,280,7,90,93,802,2,161,179,-314,21.47091055,10
anthonyi,-79.77581494,-3.690414459,220,114,87,256,131,1595,296,6,90,63,885,3,99,170,-942,17.08800749,10
anthonyi,-80.05547192,-3.716776665,247,109,83,709,130,932,235,4,100,576,22,7,338,189,67,9.055385138,10
anthonyi,-79.78560267,-3.742385282,228,114,89,225,127,1455,301,6,92,92,129,13,160,167,136,11.18033989,10
anthonyi,-79.72009402,-3.777986745,232,114,89,240,127,1406,298,6,92,99,124,11,124,153,-571,14.31782106,30
anthonyi,-79.73547346,-3.787020884,231,114,89,233,128,1448,306,6,92,100,128,12,292,215,590,12.08304597,30
anthonyi,-80.08332793,-3.866669347,241,115,87,544,132,1131,254,2,103,731,16,9,218,197,-643,1,30
anthonyi,-80.24532707,-3.908785556,241,115,84,746,136,923,225,1,104,590,10,3,72,170,495,5.099019514,10
anthonyi,-80.21089835,-4.112865234,235,122,87,691,139,925,270,1,115,609,30,7,351,183,204,13.41640786,30
anthonyi,-79.27842006,-4.13337264,188,122,87,300,139,980,186,12,64,250,53,8,331,193,927,13.60147051,10
anthonyi,-79.19999785,-3.233329847,197,113,89,386,126,653,113,17,56,63,254,12,185,184,717,3.16227766,30
anthonyi,-79.71376655,-3.247665857,233,98,86,412,113,1020,185,13,70,399,72,15,205,200,655,7,10
anthonyi,-79.2891977,-3.260280653,213,111,88,388,125,578,112,8,66,38,226,5,170,178,10,3,30
anthonyi,-79.74181876,-3.271637984,247,84,72,1067,116,906,173,26,68,443,96,5,205,187,663,5.830951895,10
anthonyi,-79.69374965,-3.320621209,246,88,75,933,116,943,175,26,67,457,98,12,358,182,459,3.16227766,10
anthonyi,-79.64587674,-3.369350265,234,101,89,343,113,1052,189,13,69,410,80,5,1,180,1063,4.472135955,10
anthonyi,-79.73818905,-3.370647864,245,90,76,859,117,933,179,22,70,460,86,4,35,173,149,5.099019514,10
anthonyi,-79.78811314,-3.54839655,221,111,88,209,126,1381,264,6,88,97,761,6,308,194,28,20.1246118,30
anthonyi,-79.93614638,-3.579378384,249,100,80,833,125,821,215,8,100,490,36,2,1,180,453,5.385164807,10
anthonyi,-79.73741762,-3.595324129,176,111,88,331,126,1091,228,2,95,16,640,11,155,165,399,24.33105012,30
anthonyi,-79.64712975,-3.648463237,230,111,90,256,123,1288,252,8,86,106,122,10,235,206,364,27.29468813,30
anthonyi,-79.67438823,-3.654937851,208,116,87,399,133,1536,309,6,84,41,792,19,73,124,-904,26.90724809,10
anthonyi,-79.70148173,-3.669920431,222,114,87,289,130,1509,288,7,88,110,831,3,220,187,990,23.43074903,30
anthonyi,-79.68195978,-3.721918008,231,113,89,291,126,1334,280,6,91,96,118,6,145,169,-997,20.80865205,30
anthonyi,-79.7287848,-3.745484357,231,113,89,240,126,1372,289,6,92,93,122,5,268,197,707,15.62049935,10
anthonyi,-79.61847556,-3.774111786,235,112,91,255,123,1326,268,9,87,214,49,5,348,183,-345,25,10
anthonyi,-79.66571082,-3.782535028,234,113,91,225,124,1359,284,7,91,101,122,13,346,190,-96,19.92485885,30
anthonyi,-79.77964085,-3.795693835,231,114,90,225,126,1433,302,6,93,90,133,14,125,145,108,7.211102551,10
anthonyi,-80.33653352,-3.802449373,246,110,80,955,137,594,153,1,105,384,6,3,222,186,793,12.64911064,10
anthonyi,-79.42010799,-3.804442591,150,101,90,152,112,988,175,24,61,219,88,26,265,255,-258,18.43908891,30
anthonyi,-80.03820183,-3.873790531,248,114,85,665,133,1030,244,2,105,667,16,6,180,180,518,0,30
anthonyi,-80.06707896,-3.880073404,246,114,85,668,133,1055,245,2,106,687,14,9,168,174,771,1,30
anthonyi,-80.00980627,-3.944217573,231,118,91,281,129,1413,319,4,102,893,52,14,292,221,159,8.062257748,10
anthonyi,-79.91571478,-3.953104561,227,119,90,195,132,1576,330,6,96,950,154,9,20,171,-334,13,10
anthonyi,-80.01999532,-3.993998977,224,121,89,236,135,1661,348,6,96,999,176,11,336,194,107,13.60147051,10
anthonyi,-79.29809361,-4.009467599,169,105,84,342,125,1023,163,34,45,242,130,10,200,190,-651,6,30
anthonyi,-80.00419226,-4.018421474,217,122,89,185,137,1590,321,5,94,917,162,13,177,178,816,17.08800749,10
anthonyi,-79.97193958,-4.051258294,204,123,88,132,139,1501,287,2,93,44,832,12,331,198,-244,19.02629759,30
anthonyi,-79.86308847,-4.074646279,185,123,88,317,139,1286,287,2,98,46,756,14,147,157,-953,8.062257748,30
anthonyi,-80.08677035,-4.076438837,231,122,90,419,135,1231,312,2,110,795,45,9,309,203,133,18.78829423,30
anthonyi,-80.09845766,-4.10747864,228,123,89,442,137,1222,311,2,110,813,45,6,261,199,159,20.24845673,30
anthonyi,-79.90785784,-4.170071041,217,125,89,176,139,1309,281,3,97,795,118,5,91,166,-1296,5,30
anthonyi,-80.11167889,-4.189120321,231,125,88,566,142,956,283,1,120,664,30,4,24,175,325,10.77032961,40
anthonyi,-80.16261966,-4.208249865,235,125,86,721,145,836,269,1,124,579,23,3,176,180,-181,8,30
anthonyi,-80.22084215,-4.330790421,248,124,79,1255,156,501,240,0,164,387,1,1,106,176,111,2.828427125,60
anthonyi,-79.11480672,-2.869337887,102,85,78,709,108,987,122,53,24,237,185,8,99,157,1707,4.242640687,10
anthonyi,-79.71741856,-3.051648233,236,94,82,621,114,1067,203,16,75,424,79,8,298,202,-540,9.219544457,10
anthonyi,-79.66966158,-3.087998825,214,105,88,193,119,956,186,4,82,410,428,1,168,179,-1982,15.23154621,10
anthonyi,-79.65906676,-3.24491905,217,107,89,193,120,1045,192,5,79,45,512,12,250,217,115,10,10
anthonyi,-79.52760354,-3.272181994,215,109,87,307,124,931,163,5,76,41,437,13,147,159,1441,3,10
anthonyi,-79.46096674,-3.281488138,209,111,86,423,128,695,130,4,82,25,340,16,150,155,-890,3.605551275,30
anthonyi,-79.52528481,-3.28901956,220,107,88,215,121,1021,174,7,70,131,447,10,168,174,1101,3.16227766,10
anthonyi,-79.90505307,-3.295222169,251,76,67,1319,112,537,122,13,88,311,47,0,225,181,-7,5.656854249,10
anthonyi,-79.46219745,-3.296760559,218,109,89,277,122,939,155,8,69,78,405,14,162,167,929,2.828427125,30
anthonyi,-79.47457145,-3.297389292,215,110,88,334,125,853,149,6,74,40,390,18,148,151,1201,2.236067977,30
anthonyi,-79.55000161,-3.310998469,234,101,90,293,112,1060,183,15,62,401,91,16,172,173,1862,3,10
anthonyi,-79.5976694,-3.323666775,240,96,83,537,115,896,170,18,69,442,70,3,252,188,1228,2,10
anthonyi,-79.45925444,-3.325044637,206,112,86,496,129,637,122,3,83,21,322,24,208,214,-958,1.414213562,30
anthonyi,-79.24046419,-3.32572242,162,106,90,237,117,678,118,13,62,144,51,10,180,180,-1128,6,30
anthonyi,-79.60920509,-3.329267406,242,94,81,647,115,922,169,21,68,358,77,9,4,178,784,1.414213562,10
anthonyi,-79.44148938,-3.334319567,218,109,88,284,123,948,157,9,67,127,402,21,212,215,694,1,30
anthonyi,-79.59737955,-3.349962094,237,99,87,380,113,1007,182,16,67,480,78,14,25,162,871,3.605551275,10
anthonyi,-79.23212121,-3.361364015,142,99,89,343,111,460,78,8,63,103,29,13,325,204,-148,6.32455532,30
anthonyi,-79.3731269,-3.381808994,192,112,88,423,126,619,116,7,76,32,297,27,52,117,-722,4,30
anthonyi,-79.58821164,-3.389429597,183,111,87,375,127,814,165,2,91,17,456,12,317,206,-1490,8.062257748,30
anthonyi,-79.80433981,-3.420045785,250,87,72,1106,120,776,157,20,75,403,77,3,356,181,15,11,10
anthonyi,-79.9720466,-3.473800248,252,90,72,1099,124,564,129,9,93,339,43,0,9,180,2,2.828427125,30
anthonyi,-79.26640278,-3.503680684,206,114,89,394,127,650,122,15,60,82,248,10,267,212,358,0,30
anthonyi,-79.73126852,-3.521949621,221,111,88,260,125,1378,258,7,86,106,741,12,257,216,305,22.02271555,10
anthonyi,-79.4332445,-3.526185767,95,92,84,426,109,925,144,19,57,213,75,7,200,188,108,9.486832981,30
anthonyi,-80.06713247,-3.53569703,255,101,76,1065,132,515,128,6,106,329,21,0,24,180,16,4,10
anthonyi,-79.9867438,-3.551134438,250,100,78,972,128,707,188,7,103,430,28,2,327,185,-342,5.385164807,10
anthonyi,-79.92201549,-3.579873344,248,100,79,817,126,860,220,9,99,508,38,2,330,183,311,5.830951895,10
anthonyi,-79.67191343,-3.582718251,185,113,88,373,128,1034,201,3,90,20,581,11,167,173,-714,28.44292531,30
anthonyi,-79.75934302,-3.628548891,225,112,89,225,125,1369,269,7,90,91,776,12,266,218,-62,21,10
anthonyi,-79.750514,-3.648681732,226,112,89,223,125,1354,271,7,91,54,772,8,179,180,-673,22.09072203,10
anthonyi,-79.61456939,-3.705330152,232,111,88,295,125,1312,266,8,88,106,119,8,172,177,469,26.40075756,10
anthonyi,-80.06291416,-3.709169438,253,108,80,915,134,781,206,4,104,483,17,1,259,183,-84,8.246211251,10
